energy,heating,price,area,rooms,fee,zipcode,construction_year,price_per_area,heating_raw,house_age,rooms_per_area,heating_clean_fußbodenheizung,heating_clean_minergie,heating_clean_missing,heating_clean_other,heating_clean_wärmepumpe,heating_clean_zentralheizung,energy_clean_gas,energy_clean_missing,energy_clean_other,energy_clean_öl,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_17,level_21,level_23,level_24,level_2023,log_price,log_area,log_fee,age_bin,rooms_per_area_bin,zipcode_freq
Öl,Zentralheizung,249000,64.0,3,3.57,13505,1971,3890.625,Zentralheizung,54,0.046875,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.425212191503038,4.174387269895637,1.5195132049061133,very_old,3,0.0006938020351526364
Gas,"Fußbodenheizung, offener ",1295000,136.06,4,3.57,10405,1900,9517.859767749522,"Fußbodenheizung, offener ",125,0.029398794649419375,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.07402202531625,4.920418786157677,1.5195132049061133,,1,0.009019426456984274
Gas,Etagenheizung,770000,120.0,4,3.57,12161,1900,6416.666666666667,Etagenheizung,125,0.03333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.554147092530322,4.795790545596741,1.5195132049061133,,1,0.010175763182238668
Gas,Zentralheizung,349000,158.0,5,3.57,12103,1956,2208.8607594936707,Zentralheizung,69,0.03164556962025317,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.762830066509972,5.0689042022202315,1.5195132049061133,very_old,1,0.007631822386679001
Gas,Etagenheizung,494990,126.0,4,3.57,12157,1909,3928.4920634920636,Etagenheizung,116,0.031746031746031744,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.112294859567355,4.844187086458591,1.5195132049061133,,1,0.01734505087881591
na,na,207500,34.02,1,3.57,10715,1898,6099.353321575543,na,127,0.02939447383891828,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.242891437918386,3.555919326857706,1.5195132049061133,,1,0.007631822386679001
Fernwärme,"Fußbodenheizung, ",560000,89.0,3,3.57,13507,2015,6292.134831460674,"Fußbodenheizung, ",10,0.033707865168539325,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.235693848424024,4.499809670330265,1.5195132049061133,new,2,0.0020814061054579094
na,na,788000,68.56,2,3.57,10317,2024,11493.582263710618,na,1,0.029171528588098017,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.577254637874743,4.242189689486082,1.5195132049061133,new,1,0.010638297872340425
na,na,247000,31.2,1,3.57,10317,2024,7916.666666666667,na,1,0.032051282051282055,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.417147664184915,3.4719664525503626,1.5195132049061133,new,1,0.010638297872340425
na,na,990000,130.0,5,3.57,14059,1956,7615.384615384615,na,69,0.038461538461538464,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.805461232211272,4.875197323201151,1.5195132049061133,very_old,2,0.0064754856614246065
na,na,370000,59.0,2,3.57,10715,1956,6271.186440677966,na,69,0.03389830508474576,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.821260987319457,4.0943445622221,1.5195132049061133,very_old,2,0.007631822386679001
Öl,Zentralheizung,185000,28.85,1,3.57,12203,1969,6412.478336221837,Zentralheizung,56,0.03466204506065858,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.128116509451258,3.396184839838611,1.5195132049061133,very_old,2,0.010175763182238668
Gas,Zentralheizung,398000,76.92,2,3.57,14129,1978,5174.206968278731,Zentralheizung,47,0.026001040041601663,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.894209796826232,4.3556826593342794,1.5195132049061133,old,0,0.0037002775208140612
na,na,271100,78.37,3,3.57,12487,1930,3459.231848921781,na,95,0.03827995406405512,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.510246724155719,4.374120463102784,1.5195132049061133,very_old,2,0.005319148936170213
Fernwärme,Zentralheizung,995000,155.51,5,3.57,12159,1896,6398.30235997685,Zentralheizung,129,0.03215227316571282,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.81049902116535,5.053119905702411,1.5195132049061133,,1,0.009019426456984274
Gas,Zentralheizung,269000,64.31,2,3.57,12527,1998,4182.864251282848,Zentralheizung,27,0.031099362463069505,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.502470376049185,4.179145163914566,1.5195132049061133,recent,1,0.004856614246068455
na,na,599000,188.0,6,3.57,12249,1956,3186.1702127659573,na,69,0.031914893617021274,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.303018546545275,5.241747015059643,1.5195132049061133,very_old,1,0.002312673450508788
na,na,444900,66.83,3,3.57,10707,1962,6657.189884782284,na,63,0.044890019452341764,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.005607064487718,4.217004574957988,1.5195132049061133,very_old,3,0.012950971322849213
