energy,heating,price,area,rooms,fee,zipcode,construction_year,level,price_per_area,heating_raw,heating_clean,energy_clean
Öl,Zentralheizung,249000,64.0,3,3.57,13505,1971,2,3890.625,Zentralheizung,zentralheizung,öl
Gas,"Fußbodenheizung, offener ",1295000,136.06,4,3.57,10405,1900,5,9517.859767749522,"Fußbodenheizung, offener ",fußbodenheizung,gas
Gas,Etagenheizung,770000,120.0,4,3.57,12161,1900,5,6416.666666666667,Etagenheizung,etagenheizung,gas
Gas,Zentralheizung,349000,158.0,5,3.57,12103,1956,1,2208.8607594936707,Zentralheizung,zentralheizung,gas
Gas,Etagenheizung,494990,126.0,4,3.57,12157,1909,3,3928.492063492064,Etagenheizung,etagenheizung,gas
na,na,207500,34.02,1,3.57,10715,1898,1,6099.353321575543,na,missing,missing
Fernwärme,"Fußbodenheizung, ",560000,89.0,3,3.57,13507,2015,4,6292.134831460674,"Fußbodenheizung, ",fußbodenheizung,fernwärme
na,na,788000,68.56,2,3.57,10317,2024,1,11493.582263710618,na,missing,missing
na,na,247000,31.2,1,3.57,10317,2024,1,7916.666666666667,na,missing,missing
na,na,990000,130.0,5,3.57,14059,1956,1,7615.384615384615,na,missing,missing
na,na,370000,59.0,2,3.57,10715,1956,1,6271.186440677966,na,missing,missing
Öl,Zentralheizung,185000,28.85,1,3.57,12203,1969,3,6412.478336221837,Zentralheizung,zentralheizung,öl
Gas,Zentralheizung,398000,76.92,2,3.57,14129,1978,1,5174.206968278731,Zentralheizung,zentralheizung,gas
na,na,271100,78.37,3,3.57,12487,1930,1,3459.231848921781,na,missing,missing
Fernwärme,Zentralheizung,995000,155.51,5,3.57,12159,1896,3,6398.30235997685,Zentralheizung,zentralheizung,fernwärme
Gas,Zentralheizung,269000,64.31,2,3.57,12527,1998,3,4182.864251282848,Zentralheizung,zentralheizung,gas
na,na,599000,188.0,6,3.57,12249,1956,1,3186.1702127659573,na,missing,missing
na,na,444900,66.83,3,3.57,10707,1962,1,6657.189884782284,na,missing,missing
Gas,Etagenheizung,449000,124.0,3,3.57,13503,1913,1,3620.967741935484,Etagenheizung,etagenheizung,gas
na,na,399900,70.0,2,3.57,10247,1900,1,5712.857142857143,na,missing,missing
Fernwärme,Zentralheizung,699000,100.63,4,3.57,12683,2021,1,6946.2386962138535,Zentralheizung,zentralheizung,fernwärme
na,na,850000,95.0,3,3.57,10179,1956,1,8947.368421052632,na,missing,missing
na,na,259000,83.0,3,3.57,12277,1956,1,3120.4819277108436,na,missing,missing
Gas,Zentralheizung,339900,60.73,2,3.57,13357,1995,1,5596.904330643833,Zentralheizung,zentralheizung,gas
na,na,890000,65.0,2,3.57,10405,1956,1,13692.307692307691,na,missing,missing
na,na,439900,90.0,3,3.57,13359,1956,1,4887.777777777777,na,missing,missing
Fernwärme,"Fußbodenheizung, ",1999000,186.0,5,3.57,10711,2019,9,10747.31182795699,"Fußbodenheizung, ",fußbodenheizung,fernwärme
Fernwärme,Zentralheizung,695000,103.35,3,3.57,10245,1901,3,6724.721819061442,Zentralheizung,zentralheizung,fernwärme
na,na,839000,113.85,3,3.57,12205,2017,2,7369.345630215196,na,missing,missing
na,na,239000,71.0,2,3.57,13158,1956,1,3366.1971830985917,na,missing,missing
na,na,645000,84.0,3,3.57,10249,1956,1,7678.571428571428,na,missing,missing
na,na,469000,63.02,2,3.57,13086,1956,2,7442.081878768645,na,missing,missing
na,na,509000,74.39,3,3.57,13086,1956,1,6842.317515795134,na,missing,missing
na,na,1398000,189.01,6,3.57,13086,1956,1,7396.434051108407,na,missing,missing
na,na,630000,122.0,3,3.57,14167,1956,1,5163.934426229508,na,missing,missing
na,na,499000,108.0,4,3.57,12524,1956,1,4620.37037037037,na,missing,missing
Öl,Zentralheizung,349000,86.0,3,3.57,13583,1966,2,4058.139534883721,Zentralheizung,zentralheizung,öl
na,na,335000,82.0,3,3.57,12489,1956,1,4085.3658536585367,na,missing,missing
Gas,Zentralheizung,298000,58.49,2,3.57,12053,1956,1,5094.888015045307,Zentralheizung,zentralheizung,gas
na,na,189435,21.9,1,3.57,13088,2024,24,8650.0,na,missing,missing
na,na,196470,22.2,2,3.57,13088,2024,24,8850.0,na,missing,missing
na,na,238000,35.0,1,3.57,10559,1956,1,6800.0,na,missing,missing
na,na,695000,94.0,4,3.57,14169,2001,1,7393.617021276596,na,missing,missing
Fernwärme,"Fußbodenheizung, ",260000,31.5,3,3.57,13088,2024,24,8253.968253968254,"Fußbodenheizung, ",fußbodenheizung,fernwärme
na,na,330000,88.0,3,3.57,14193,1900,2,3750.0,na,missing,missing
na,na,225000,41.0,1,3.57,13357,1956,1,5487.804878048781,na,missing,missing
na,na,999900,152.0,5,3.57,10247,1918,1,6578.289473684211,na,missing,missing
na,na,1001000,83.83,3,3.57,10719,1956,1,11940.832637480617,na,missing,missing
na,na,750000,85.68,3,4.76,10435,1904,1,8753.501400560224,na,missing,missing
Gas,Etagenheizung,679970,100.19,3,3.57,12349,1983,1,6786.805070366304,Etagenheizung,etagenheizung,gas
na,na,299000,45.0,2,3.57,12459,2010,1,6644.444444444444,na,missing,missing
Öl,Zentralheizung,342000,62.0,2,3.57,12207,1970,1,5516.129032258064,Zentralheizung,zentralheizung,öl
na,na,439000,97.0,4,3.57,12685,1956,1,4525.773195876289,na,missing,missing
na,na,419000,86.0,3,3.57,13439,1956,1,4872.093023255814,na,missing,missing
na,na,885000,132.0,3,3.57,14055,2003,1,6704.545454545455,na,missing,missing
Gas,"Kamin, ",1580000,331.0,7,3.57,10555,1910,5,4773.413897280967,"Kamin, ",other,gas
na,na,1390000,118.0,4,3.57,10405,1956,1,11779.661016949152,na,missing,missing
na,na,465000,66.0,3,3.57,10625,1956,1,7045.454545454545,na,missing,missing
Öl,Fußbodenheizung,220000,96.0,4,3.57,13439,1956,1,2291.6666666666665,Fußbodenheizung,fußbodenheizung,öl
na,na,270000,68.0,3,3.57,12159,1956,1,3970.5882352941176,na,missing,missing
na,na,467000,66.0,3,3.57,10777,1956,1,7075.757575757576,na,missing,missing
na,na,459000,90.0,3,3.57,12683,1956,1,5100.0,na,missing,missing
Gas,Zentralheizung,458000,76.58,3,3.57,12105,1973,1,5980.673805171063,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,448000,76.58,3,3.57,12105,1973,1,5850.091407678245,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,275000,43.43,1,3.57,12105,1973,1,6332.028551692379,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,345000,56.76,2,3.57,12105,1994,1,6078.224101479916,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,1439000,129.17,3,3.57,10245,1900,1,11140.357668189208,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,2499000,201.85,4,3.57,10245,1900,1,12380.480554867476,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,439000,57.13,2,3.57,10245,1900,1,7684.22895151409,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,499000,51.41,2,3.57,10245,1900,4,9706.28282435324,Zentralheizung,zentralheizung,gas
Fernwärme,Fußbodenheizung,880040,62.86,2,3.57,10997,2022,1,14000.0,Fußbodenheizung,fußbodenheizung,fernwärme
na,na,549000,62.0,2,3.57,10247,2015,1,8854.838709677419,na,missing,missing
na,na,394000,100.04,3,3.57,10365,1900,3,3938.4246301479407,na,missing,missing
Öl,Zentralheizung,165000,38.0,1,3.57,14195,1970,1,4342.105263157895,Zentralheizung,zentralheizung,öl
Fernwärme,Zentralheizung,919000,110.93,4,3.57,10711,1911,2,8284.50374109799,Zentralheizung,zentralheizung,fernwärme
Fernwärme,Zentralheizung,499000,62.08,2,3.57,10711,1911,2,8038.015463917526,Zentralheizung,zentralheizung,fernwärme
Fernwärme,Zentralheizung,439000,61.65,2,3.57,10711,1911,1,7120.8434712084345,Zentralheizung,zentralheizung,fernwärme
Gas,Etagenheizung,208000,42.4,1,3.57,13403,1956,3,4905.660377358491,Etagenheizung,etagenheizung,gas
na,na,359000,90.11,3,3.57,10315,1920,1,3984.019531683498,na,missing,missing
na,na,486048,101.26,4,17.3,10713,1985,2,4800.0,na,missing,missing
Gas,Etagenheizung,395000,62.16,2,3.57,10435,1895,2,6354.5688545688545,Etagenheizung,etagenheizung,gas
Gas,Zentralheizung,598000,90.76,3,3.57,10439,1956,3,6588.805641251653,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,595000,112.05,4,3.57,12555,2016,1,5310.129406514949,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,620000,95.76,3,3.57,10439,1908,3,6474.519632414369,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,499000,70.85,2,3.57,10439,1956,2,7043.048694424841,Zentralheizung,zentralheizung,gas
Gas,Zentralheizung,418000,56.5,2,3.57,10439,1956,1,7398.230088495575,Zentralheizung,zentralheizung,gas
na,na,290000,69.04,2,3.57,12351,1992,1,4200.463499420625,na,missing,missing
na,na,385000,80.13,3,3.57,10713,1985,2,4804.692374890803,na,missing,missing
na,na,498000,74.0,2,3.57,10717,1900,4,6729.72972972973,na,missing,missing
na,na,269000,42.0,1,3.57,10717,1900,4,6404.761904761905,na,missing,missing
na,na,325000,68.53,2,3.57,13351,1956,3,4742.448562673282,na,missing,missing
na,na,629000,83.0,3,3.57,10709,1912,1,7578.313253012048,na,missing,missing
na,na,320000,50.45,2,3.57,13351,1956,1,6342.913776015857,na,missing,missing
Fernwärme,Zentralheizung,319062,77.49,3,3.57,10247,1900,2,4117.460317460318,Zentralheizung,zentralheizung,fernwärme
